0	0	3
0	1	3
0	2	5
0	3	5
1	4	4
1	4	4
1	5	4
1	6	4
1	7	4
1	8	4
1	0	3
1	9	3
1	9	4
1	10	5
1	11	3
1	12	5
1	12	5
1	7	4
1	0	3
1	13	5
1	14	5
1	14	5
1	15	3
1	15	4
1	16	5
1	17	3
1	17	3
1	18	1
1	19	3
1	20	4
1	21	4
1	21	4
1	19	4
1	22	4
1	23	4
1	24	4
1	23	4
1	25	4
1	25	4
1	26	4
1	26	4
1	27	4
1	28	3
1	28	4
1	29	5
1	30	3
1	30	3
1	31	3
1	31	4
1	31	4
1	32	2
2	23	4
2	33	3
2	29	5
2	2	5
3	33	4
4	34	3
5	4	3
5	35	3
5	17	3
5	18	2
5	36	3
5	33	2
5	2	5
5	3	2
6	37	5
6	5	4
6	38	4
6	7	5
6	13	4
6	10	4
6	39	5
6	40	5
6	34	4
6	21	4
6	19	5
6	24	4
6	41	5
6	42	4
6	43	5
6	44	5
6	45	4
6	29	4
6	30	4
6	46	5
6	32	5
7	37	5
7	6	4
7	6	4
7	6	4
7	47	5
7	7	4
7	48	3
7	0	5
7	0	5
7	0	5
7	49	5
7	49	5
7	9	5
7	9	4
7	10	4
7	50	4
7	50	5
7	50	5
7	1	4
7	40	5
7	40	5
7	14	4
7	51	5
7	39	5
7	16	4
7	35	3
7	19	4
7	20	4
7	21	4
7	21	4
7	23	2
7	23	3
7	36	4
7	36	4
7	36	4
7	24	5
7	25	4
7	26	4
7	26	4
7	41	4
7	41	4
7	41	4
7	42	5
7	42	4
7	42	5
7	43	5
7	43	4
7	44	5
7	45	5
7	28	5
7	30	4
7	30	3
7	31	4
7	31	2
7	32	5
7	32	5
7	32	5
7	52	4
7	52	4
7	53	5
7	54	4
7	54	5
7	55	3
8	2	4
9	8	5
9	27	5
9	2	5
10	37	5
10	4	4
10	8	4
10	8	3
10	9	5
10	51	4
10	16	5
10	16	5
10	56	4
10	29	4
10	52	4
10	2	5
10	3	4
11	37	4
11	4	4
11	49	4
11	10	5
11	1	3
11	14	4
11	51	5
11	15	5
11	16	5
11	19	5
11	43	4
11	27	4
11	44	4
11	45	4
11	28	5
11	46	5
11	29	5
11	32	5
11	2	5
11	54	5
12	37	5
12	49	5
12	12	4
12	7	4
12	8	5
12	9	3
12	50	4
12	40	4
12	51	4
12	14	4
12	16	3
12	18	1
12	19	5
12	19	4
12	20	3
12	24	5
12	26	3
12	41	4
12	27	3
12	33	2
12	30	3
12	32	3
12	2	4
12	53	3
12	54	5
13	5	4
13	5	4
13	38	2
13	6	4
13	6	4
13	6	4
13	6	4
13	6	5
13	6	5
13	13	3
13	13	3
13	7	5
13	9	3
13	9	3
13	13	2
13	13	4
13	40	5
13	40	5
13	39	4
13	39	5
13	35	3
13	17	4
13	18	2
13	20	5
13	20	3
13	34	4
13	20	5
13	20	5
13	21	5
13	21	5
13	21	4
13	22	4
13	23	4
13	36	4
13	24	4
13	24	5
13	23	2
13	23	2
13	36	5
13	25	4
13	25	4
13	41	5
13	41	4
13	44	4
13	56	5
13	33	3
13	30	4
13	28	4
13	52	4
13	2	5
13	3	2
13	57	4
13	54	4
13	54	5
14	37	5
14	6	4
14	7	5
14	48	4
14	0	5
14	49	4
14	9	5
14	10	4
14	50	5
14	9	4
14	13	4
14	40	5
14	14	5
14	14	4
14	15	5
14	40	5
14	17	4
14	21	4
14	34	4
14	20	4
14	23	4
14	22	4
14	25	5
14	41	5
14	42	3
14	44	4
14	58	4
14	27	3
14	45	5
14	28	5
14	30	3
14	31	5
14	31	4
14	32	5
14	2	4
14	57	2
15	6	3
15	47	5
15	47	5
15	7	4
15	10	5
15	1	4
15	35	5
15	35	5
15	17	4
15	18	1
15	34	4
15	19	5
15	26	3
15	33	4
15	56	5
15	29	5
15	31	4
15	2	5
15	57	3
16	4	4
16	5	4
16	38	4
16	6	4
16	0	4
16	0	5
16	11	4
16	50	5
16	12	5
16	1	5
16	40	5
16	39	4
16	35	3
16	17	4
16	17	4
16	18	1
16	23	3
16	25	4
16	26	4
16	41	5
16	42	3
16	43	4
16	27	4
16	44	5
16	56	4
